Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
Fader,The Temper Trap,Conditions (Tour Edition),The Temper Trap,2009,192373,FALSE,0,"indietronica,modern rock,shimmer pop",0.532,0.76,-7.123,0.0353,0.000101
Sherry,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,14/01/2003,152160,FALSE,54,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly",0.703,0.478,-8.062,0.0441,0.626
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",Mike Posner,06/05/2016,197933,TRUE,63,"dance pop,pop,pop dance,pop rap,pop dance",0.664,0.714,-6.645,0.111,0.0353
Let Go for Tonight,Foxes,Glorious (Deluxe),Foxes,12/05/2014,238413,FALSE,39,"electropop,metropopolis,uk pop",0.543,0.808,-6.615,0.0632,0.0429
The Way I Want To Touch You,Captain & Tennille,Love Will Keep Us Together,Captain & Tennille,01/01/1975,163586,FALSE,35,"mellow gold,soft rock,yacht rock",0.664,0.585,-7.062,0.0248,0.624
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),ZAYN,23/03/2017,188490,FALSE,53,"pop,uk pop,r&b,rap,urban contemporary",0.748,0.627,-6.029,0.0639,0.131
Your Song,Rita Ora,Phoenix (Deluxe Edition),Rita Ora,23/11/2018,180160,FALSE,60,"dance pop,pop,uk pop",0.853,0.571,-5.845,0.0543,0.133
Fix You,Coldplay,X&Y,Coldplay,07/06/2005,295533,FALSE,83,"permanent wave,pop",0.209,0.417,-8.74,0.0338,0.164
There You'll Be - 2007 Remaster,Faith Hill,The Hits,Faith Hill,2007,220840,FALSE,44,"contemporary country,country,country dawn,country road",0.325,0.532,-7.208,0.0308,0.496
Every Breath You Take - Remastered 2003,The Police,Synchronicity,The Police,01/06/1983,253886,FALSE,3,"album rock,classic rock,permanent wave,rock",0.813,0.46,-9.78,0.0346,0.56
You're the Inspiration - 2009 Remaster,Chicago,Chicago 17 (Expanded Edition),Chicago,14/05/1984,229426,FALSE,39,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.578,0.606,-6.402,0.0282,0.377
"The Key, The Secret",Urban Cookie Collective,The Very Best Of,Urban Cookie Collective,2004,222666,FALSE,53,"diva house,eurodance,hip house",0.702,0.796,-6.99,0.0315,0.0759
Paradise City,Guns N' Roses,Appetite For Destruction,Guns N' Roses,21/07/1987,406306,FALSE,1,"glam metal,hard rock,rock",0.274,0.949,-8.642,0.0896,0.0214
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,Tonight I'm Yours - Expanded Edition,Rod Stewart,1981,251866,FALSE,42,"mellow gold,soft rock",0.68,0.826,-4.958,0.0671,0.0683
You Were On My Mind,We Five,The Very Best Of,We Five,01/03/2011,156640,FALSE,9,"bubblegum pop,classic garage rock,merseybeat",0.533,0.533,-7.92,0.064,0.293
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",19/04/2013,248413,FALSE,78,"electro,filter house,rock,dance pop,pop,disco",0.794,0.811,-8.966,0.038,0.0426
Party,Christine Anu,Stylin' Up,Christine Anu,1995,194533,FALSE,32,"australian indigenous music,australian pop,australian rock",0.734,0.923,-8.189,0.0561,0.0495
Riptide,Vance Joy,Dream Your Life Away,Vance Joy,05/09/2014,201733,FALSE,0,"folk-pop,modern rock",0.502,0.719,-6.649,0.0349,0.46
Heartaches By The Number,Guy Mitchell,Heartaches By The Number,Guy Mitchell,19/10/2009,153901,FALSE,8,deep adult standards,0.518,0.556,-13.264,0.0479,0.526
The Edge of Heaven,Wham!,Music From The Edge Of Heaven,Wham!,01/07/1986,270800,FALSE,50,"new romantic,new wave,new wave pop,soft rock",0.493,0.665,-13.817,0.0424,0.117
Should’ve Been Us,Tori Kelly,Unbreakable Smile,Tori Kelly,23/06/2015,186477,FALSE,0,"pop,post-teen pop",0.65,0.766,-5.443,0.119,0.00408
Clap Your Hands,Kungs,Clap Your Hands,Kungs,18/02/2022,189880,FALSE,59,"edm,pop dance,uk dance",0.878,0.875,-4.923,0.0658,0.0507
Good Clean Fun,The Monkees,"The Monkees Present: Micky, David & Michael",The Monkees,01/10/1969,135800,FALSE,12,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",0.582,0.836,-9.3,0.0559,0.129
Teach Me How to Fly,"Jeff St John, The Copperwine",70 Hits of the '70s,Various Artists,04/11/2016,248640,FALSE,10,hammond organ,0.466,0.82,-6.089,0.0689,0.0503
Together We Are One - Radio Mix,Delta Goodrem,Together We Are One,Delta Goodrem,01/04/2006,254626,FALSE,26,australian pop,0.455,0.621,-3.828,0.0294,0.0535
No Secrets,The Angels,Greatest Hits,The Angels,28/10/2011,258959,FALSE,0,australian rock,0.445,0.719,-5.147,0.0285,0.000163
All For You,Sister Hazel,...Somewhere More Familiar,Sister Hazel,01/01/1997,218706,FALSE,63,"neo mellow,pop rock,post-grunge",0.633,0.754,-6.497,0.0382,0.0316
Special,Garbage,Absolute Garbage,Garbage,23/07/2012,226493,FALSE,26,"alternative rock,dance rock,electronic rock,permanent wave",0.433,0.943,-4.467,0.0434,0.000014
Saturday Sun,Vance Joy,Nation of Two,Vance Joy,23/02/2018,214746,FALSE,0,"folk-pop,modern rock",0.628,0.869,-4.339,0.0489,0.497
Montego Bay,Bobby Bloom,The Bobby Bloom Album,Bobby Bloom,01/01/1970,176466,FALSE,39,,0.765,0.586,-10.332,0.0367,0.734
Your Power,Billie Eilish,Your Power,Billie Eilish,29/04/2021,245896,FALSE,0,"art pop,pop",0.634,0.285,-14.007,0.0807,0.937
Talk of the Town,John Farnham,One Voice,John Farnham,20/10/2003,224266,FALSE,10,"australian pop,australian rock",0.679,0.892,-9.401,0.0512,0.492
Starboy,"The Weeknd, Daft Punk",Starboy,The Weeknd,25/11/2016,230453,TRUE,88,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock",0.679,0.587,-7.015,0.276,0.141
Anthem for the Year 2000,Silverchair,Neon Ballroom,Silverchair,08/03/1999,247786,FALSE,41,"alternative metal,alternative rock,australian alternative rock,australian psych,australian rock,grunge,nu metal,post-grunge",0.325,0.768,-7.51,0.0491,0.0426
Foreplay / Long Time,Boston,Boston,Boston,1976,467640,FALSE,58,"album rock,classic rock,glam metal,hard rock,mellow gold,rock,soft rock",0.435,0.657,-8.868,0.0545,0.00983
New Romantics,Taylor Swift,1989 (Deluxe),Taylor Swift,27/10/2014,230466,FALSE,0,pop,0.633,0.889,-5.87,0.0715,0.00463
She - Original Stereo Version; 2006 Remaster,The Monkees,More of The Monkees (Deluxe Edition),The Monkees,09/01/1967,158960,FALSE,34,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",0.506,0.669,-6.755,0.0391,0.241
I'm Good?,Hilltop Hoods,I'm Good?,Hilltop Hoods,01/05/2020,160186,FALSE,50,australian hip hop,0.901,0.761,-5.986,0.0704,0.311
The Chain - 2004 Remaster,Fleetwood Mac,Rumours,Fleetwood Mac,04/02/1977,269813,FALSE,60,"album rock,classic rock,rock,soft rock,yacht rock",0.522,0.755,-6.95,0.0524,0.0517
Shoop,Salt-N-Pepa,Very Necessary,Salt-N-Pepa,12/10/1993,248573,FALSE,70,"girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop",0.939,0.674,-7.232,0.212,0.091
Trouble,P!nk,Try This,P!nk,08/10/2003,193600,FALSE,0,"dance pop,pop",0.575,0.933,-2.719,0.051,0.00822
You Got Me,Gavin DeGraw,You Got Me,Gavin DeGraw,28/07/2014,227485,FALSE,37,"neo mellow,pop rock",0.323,0.462,-8.898,0.0294,0.0531
I Am the Beat,The Look,The Look,The Look,1981,180547,FALSE,25,,0.429,0.657,-9.708,0.0788,0.262
Well Hello,Yellowstone And Voice,The Best of Red Bus Collection,Various Artists,10/06/2016,174040,FALSE,0,beatlesque,0.473,0.697,-6.253,0.03,0.0229
Twistin' Matilda (And the Channel),Jimmy Soul,I You Wanna Be Happy,Jimmy Soul,02/12/2013,174933,FALSE,0,,0.535,0.775,-7.606,0.155,0.715
Nothing Can Divide Us,Jason Donovan,Greatest Hits,Jason Donovan,06/02/2007,226200,FALSE,8,"australian dance,australian pop,europop,new wave pop",0.702,0.788,-11.54,0.0423,0.0263
Its Only the Beginning,Deborah Conway,String Of Pearls,Deborah Conway,1991,281640,FALSE,40,australian rock,0.562,0.692,-9.996,0.0361,0.0275
S.O.S.,Jonas Brothers,Jonas Brothers (Standard French Version),Jonas Brothers,01/01/2007,153346,FALSE,0,"boy band,pop",0.587,0.697,-3.836,0.0682,0.000749
Lil Boo Thang,Paul Russell,Lil Boo Thang,Paul Russell,18/08/2023,114233,FALSE,79,indie r&b,0.85,0.699,-3.292,0.0776,0.152
Piece by Piece,Kelly Clarkson,Piece By Piece (Deluxe Version),Kelly Clarkson,27/02/2015,257746,FALSE,50,"dance pop,pop,talent show",0.59,0.808,-6.728,0.0408,0.000953
Glamorous,"Fergie, Ludacris",The Dutchess,Fergie,13/09/2006,246600,TRUE,62,"dance pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.81,0.76,-6.447,0.232,0.301
Free Your Mind,En Vogue,Funky Divas,En Vogue,24/03/1992,293105,FALSE,53,"contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary",0.765,0.831,-6.522,0.0565,0.0894
Untouchable (Originally Performed by Taylor Swift) [Vocal Version],Musical Creations Karaoke,Untouchable (Originally Performed by Taylor Swift) [Karaoke Version],Musical Creations Karaoke,21/07/2014,316212,FALSE,1,karaoke,0.539,0.344,-11.118,0.0421,0.568
From The Sea,Eskimo Joe,From The Sea,Eskimo Joe,2004,203146,FALSE,0,"australian alternative rock,australian rock,perth indie",0.582,0.939,-3.305,0.0342,0.0628
Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",Bloom,Troye Sivan,31/08/2018,231846,FALSE,64,"australian pop,pop,viral pop,pop",0.736,0.756,-7.099,0.047,0.00632
Into The Dark,Ben Lee,Awake Is the New Sleep,Ben Lee,22/02/2005,166893,FALSE,28,"australian alternative rock,australian pop,australian rock",0.779,0.719,-7.004,0.0279,0.0989
Happenin' All Over Again - Radio,Young Divas,Young Divas,Young Divas,14/11/2006,208346,FALSE,23,australian pop,0.617,0.752,-9.907,0.0547,0.000957
You've Never Been This Far Before,Conway Twitty,Hello Darlin' 15 #1 Hits,Conway Twitty,21/04/2005,192893,FALSE,1,"arkansas country,classic country pop,country,country rock",0.702,0.339,-14.214,0.0359,0.679
Superstylin',Groove Armada,Goodbye Country (Hello Nightclub),Groove Armada,11/07/2001,360426,FALSE,60,"big beat,electronica,nu skool breaks,trip hop",0.742,0.798,-8.263,0.0558,0.00346
Halfway Gone,Lifehouse,Smoke & Mirrors (International Version),Lifehouse,01/01/2010,195306,FALSE,49,"neo mellow,pop rock,post-grunge",0.543,0.919,-4.831,0.0415,0.000441
Too Much (feat. Usher),"Marshmello, Imanbek, USHER",Too Much (feat. Usher),"Marshmello, Imanbek, USHER",23/10/2020,165704,FALSE,52,"brostep,edm,pop,progressive electro house,electro house,pop dance,slap house,atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.712,0.891,-2.76,0.0401,0.00415
Polaroid,Keith Urban,Polaroid,Keith Urban,24/04/2020,150206,FALSE,24,"contemporary country,country,country road",0.791,0.744,-5.294,0.0549,0.598
Walk Right In,Dr. Hook,Completely Hooked,Dr. Hook,01/01/1992,187066,FALSE,40,"country rock,mellow gold,soft rock",0.796,0.867,-10.568,0.037,0.0742
Two Strong Hearts,John Farnham,One Voice,John Farnham,20/10/2003,212840,FALSE,16,"australian pop,australian rock",0.61,0.78,-9.393,0.0316,0.0212
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",7/27 (Deluxe),Fifth Harmony,27/05/2016,214480,FALSE,75,"girl group,pop,talent show,hip hop,pop rap,r&b,southern hip hop,trap,trap soul",0.803,0.585,-5.861,0.0432,0.103
Hidden Agenda - New Mix,Craig David,Greatest Hits (French Standard DMD),Craig David,24/11/2008,252600,FALSE,0,british soul,0.705,0.727,-6.237,0.0516,0.252
Roar,Katy Perry,PRISM (Deluxe),Katy Perry,18/10/2013,223546,FALSE,70,pop,0.671,0.771,-4.821,0.0316,0.00492
Time After Time,Cyndi Lauper,She's So Unusual,Cyndi Lauper,1983,241333,FALSE,0,"dance pop,new wave pop,permanent wave,soft rock",0.726,0.449,-9.206,0.0286,0.487
Freak On a Leash,Korn,Follow The Leader,Korn,18/08/1998,255733,TRUE,78,"alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock",0.353,0.898,-5.877,0.052,0.0000223
Chulu Chululu,Bill & Boyd,Songs For A Cloudy Summer Afternoon,Bill & Boyd,01/01/1964,127680,FALSE,2,"classic australian country,classic nz pop",0.449,0.95,-6.473,0.0886,0.359
Video Killed The Radio Star,The Buggles,The Age Of Plastic,The Buggles,10/01/1980,253800,FALSE,62,"early synthpop,new wave pop,zolo",0.675,0.61,-13.811,0.085,0.0852
Lay Down (Candles In The Rain) - Long Version,"Melanie, The Edwin Hawkins Singers",The Very Best Of,Melanie,18/02/1998,469933,FALSE,28,"folk,persian pop",0.286,0.66,-13.243,0.0617,0.112
Poker Face,Lady Gaga,The Fame,Lady Gaga,01/01/2008,237200,FALSE,81,"art pop,dance pop,pop",0.851,0.806,-4.618,0.0787,0.119
Vegas Girl,Conor Maynard,Vegas Girl,Conor Maynard,20/07/2012,171826,FALSE,18,"post-teen pop,talent show,uk pop,viral pop",0.567,0.72,-6.227,0.0504,0.00189
American Boy (feat. Kanye West),"Estelle, Kanye West",Shine,Estelle,28/03/2008,284733,TRUE,0,"neo soul,r&b,chicago rap,hip hop,rap",0.727,0.729,-2.99,0.326,0.171
Harder To Breathe,Maroon 5,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,173693,TRUE,64,pop,0.662,0.908,-4.764,0.0449,0.0506
Dead And Gone,"T.I., Justin Timberlake",Paper Trail,T.I.,07/09/2008,299746,TRUE,67,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop",0.713,0.746,-4.99,0.259,0.0402
If,Janet Jackson,Janet,Janet Jackson,18/05/1993,271640,FALSE,51,"dance pop,r&b,urban contemporary",0.653,0.976,-5.173,0.0797,0.0374
Truth Hurts,Lizzo,Cuz I Love You (Deluxe),Lizzo,18/04/2019,173306,FALSE,15,"escape room,minnesota hip hop,pop,trap queen",0.713,0.626,-2.891,0.124,0.111
Be Mine!,Robyn,Robyn,Robyn,02/04/2007,206600,FALSE,0,"dance pop,electropop,neo-synthpop,scandipop,swedish electropop,swedish pop",0.706,0.728,-4.551,0.0909,0.302
1 Thing,Amerie,Playlist: The Very Best Of Amerie,Amerie,2008,238746,FALSE,49,"contemporary r&b,hip pop,neo soul,r&b,urban contemporary",0.636,0.946,-4.683,0.332,0.115
One Way Ticket,The Darkness,One Way Ticket to Hell... and Back,The Darkness,28/11/2005,266973,FALSE,42,"glam metal,hard rock",0.506,0.761,-5.603,0.0973,0.0122
Two Faces Have I,Lou Christie,Two Faces Have I,Lou Christie,10/01/2014,169157,FALSE,0,"bubblegum pop,classic garage rock,doo-wop,merseybeat",0.613,0.519,-12.796,0.0362,0.717
Freedom,Wham!,Make It Big,Wham!,23/10/1984,302200,FALSE,57,"new romantic,new wave,new wave pop,soft rock",0.591,0.651,-12.882,0.0424,0.42
Lido Shuffle,Boz Scaggs,Silk Degrees,Boz Scaggs,1976,221613,FALSE,3,"classic rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.593,0.783,-4.716,0.0358,0.0165
Slice of Heaven,Dave Dobbyn,Beside You,Dave Dobbyn,30/10/2009,277266,FALSE,0,"australian rock,classic nz pop,kiwi rock,nz singer-songwriter",0.799,0.819,-4.363,0.0382,0.198
Stone,Cyrus Villanueva,Cyrus,Cyrus Villanueva,08/12/2015,212155,FALSE,18,"australian pop,australian talent show",0.61,0.659,-3.972,0.0295,0.0242
Tell Him (Duet with Barbra Streisand),"Barbra Streisand, Céline Dion",Let's Talk About Love,Céline Dion,24/10/1997,291160,FALSE,0,"adult standards,operatic pop,soft rock,canadian pop",0.261,0.38,-9.148,0.0491,0.623
The Nips Are Getting Bigger,Mental As Anything,Get Wet,Mental As Anything,01/11/1979,200666,FALSE,51,australian rock,0.825,0.689,-10.808,0.106,0.0369
Dance Wiv Me - Radio Edit,"Dizzee Rascal, Calvin Harris, Chrom3",Dance Wiv Me,"Dizzee Rascal, Calvin Harris, Chrom3",2008,203571,FALSE,41,"grime,instrumental grime,dance pop,edm,electro house,house,pop,progressive house,uk dance",0.887,0.66,-6.116,0.0419,0.0486
Love Shack - Edit; 2019 Remaster,The B-52's,Cosmic Thing (30th Anniversary Expanded Edition),The B-52's,27/06/1989,262586,FALSE,52,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo",0.704,0.828,-7.304,0.0514,0.11
Country Grammar (Hot Shit),Nelly,Country Grammar,Nelly,27/06/2000,287000,TRUE,0,"dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary",0.865,0.664,-6.822,0.108,0.00689
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,Daft Punk,20/05/2013,337560,FALSE,74,"electro,filter house,rock,indie rock",0.775,0.585,-9.516,0.0271,0.0422
Michelle,The Overlanders,Original Hits: 1966,Various Artists,04/05/2015,141663,FALSE,0,,0.528,0.507,-7.558,0.0269,0.771
Things That Make You Go Hmmm,"C & C Music Factory, Freedom Williams",RnB Fridays,Various Artists,30/10/2015,325120,FALSE,0,"diva house,eurodance,freestyle,hip house,hip house",0.808,0.931,-7.462,0.053,0.117
Hush Hush; Hush Hush / I Will Survive - Medley,The Pussycat Dolls,Hush Hush; Hush Hush,The Pussycat Dolls,01/01/2009,252093,FALSE,56,"dance pop,girl group,pop",0.613,0.778,-3.933,0.0689,0.0985
Second Solution,The Living End,The Living End,The Living End,15/01/1999,178733,FALSE,25,"australian alternative rock,australian rock,australian ska",0.228,0.942,-4.602,0.0442,0.00657
You're The Best Thing,The Style Council,Cafe Bleu,The Style Council,01/01/1984,340626,FALSE,0,"new romantic,new wave,new wave pop,sophisti-pop",0.604,0.723,-6.458,0.0358,0.432
C'mon N' Ride It (The Train),Quad City DJ's,Get On Up And Dance,Quad City DJ's,18/06/1996,451440,FALSE,50,miami bass,0.843,0.959,-4.933,0.0914,0.0913
Super Love,Dami Im,Heart Beats,Dami Im,14/10/2014,204986,FALSE,34,"australian pop,australian talent show,talent show",0.584,0.734,-5.033,0.0323,0.0129
Love Is In The Air,John Paul Young,I Hate the Music,John Paul Young,18/09/2009,210293,FALSE,3,"australian dance,classic uk pop",0.557,0.791,-7.201,0.0389,0.0254
Forever Young,Youth Group,Casino Twilight Dogs,Youth Group,30/01/2007,239120,FALSE,52,,0.379,0.664,-6.863,0.0307,0.0167
For You (Fifty Shades Freed) (& Rita Ora),"Liam Payne, Rita Ora",Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,09/02/2018,245453,FALSE,58,"pop,dance pop,pop,uk pop",0.542,0.787,-4.618,0.0331,0.0167
Bad Habits,Billy Field,Underbelly - A Tale of Two Cities,Various Artists,19/03/2009,208253,FALSE,0,australian rock,0.565,0.601,-6.218,0.0378,0.295
I Wanna Do It with You,John Paul Young,I Hate the Music,John Paul Young,18/09/2009,181906,FALSE,0,"australian dance,classic uk pop",0.745,0.892,-5.817,0.0452,0.759
The Man,Taylor Swift,Lover,Taylor Swift,23/08/2019,190360,FALSE,79,pop,0.777,0.658,-5.191,0.054,0.0767
Maria,P.J. Proby,In Town / Enigma,P.J. Proby,1994,217573,FALSE,0,"merseybeat,rock-and-roll",0.214,0.223,-13.371,0.0307,0.915
Overkill,Men At Work,Cargo,Men At Work,1983,229466,FALSE,62,"album rock,australian rock,classic rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock",0.646,0.809,-3.99,0.0282,0.0854
Life Goes On,E^ST,Life Goes On,E^ST,29/09/2017,210455,FALSE,44,australian indie,0.701,0.605,-6.024,0.0297,0.653
Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,Fountains Of Wayne,01/01/2003,197986,FALSE,72,"pop rock,power pop",0.774,0.75,-4.927,0.0412,0.00207
How Can We Be Lovers,Michael Bolton,Soul Provider,Michael Bolton,27/06/1989,235626,FALSE,52,soft rock,0.399,0.708,-10.541,0.0387,0.118
Teenage Crime,Adrian Lux,Adrian Lux,Adrian Lux,01/01/2012,168920,FALSE,42,,0.647,0.843,-4.801,0.0364,0.0192
Danza Kuduro,"Don Omar, Lucenzo",Meet The Orphans,Don Omar,01/01/2010,198773,FALSE,80,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino,reggaeton",0.4,0.915,-4.89,0.279,0.083
Buy Me A Pony,Spiderbait,Greatest Hits,Spiderbait,01/01/2005,105200,FALSE,0,"australian alternative rock,australian rock",0.485,0.935,-3.62,0.0414,0.00183
You're so Vain,Chocolate Starfish,Chocolate Starfish,Chocolate Starfish,11/04/2017,249160,FALSE,34,australian rock,0.674,0.844,-7.473,0.0727,0.116
Got to Get It,Culture Beat,Serenity,Culture Beat,1993,321426,FALSE,0,"eurodance,europop,german techno,hip house",0.668,0.909,-9.925,0.0397,0.000705
Angels Like You,Miley Cyrus,Plastic Hearts,Miley Cyrus,27/11/2020,196453,FALSE,54,pop,0.672,0.642,-4.035,0.0313,0.0981
Circles on the Water,Samantha Jade,Circles on the Water,Samantha Jade,26/05/2017,219865,FALSE,9,"australian pop,australian talent show",0.611,0.583,-8.529,0.316,0.113
Playboy,The Marvelettes,Playboy,The Marvelettes,01/01/1962,164840,FALSE,0,"classic girl group,classic soul,motown,soul,southern soul",0.867,0.702,-5.625,0.0531,0.356
Part-Time Lover,Stevie Wonder,In Square Circle,Stevie Wonder,13/09/1985,252560,FALSE,0,"motown,soul",0.662,0.624,-13.606,0.0417,0.165
Night of My Life,Damien Leith,Night Of My Life,Damien Leith,02/12/2006,214613,FALSE,20,australian pop,0.416,0.559,-5.787,0.0267,0.00341
911,Lady Gaga,Chromatica,Lady Gaga,29/05/2020,172133,FALSE,61,"art pop,dance pop,pop",0.789,0.813,-4.563,0.0374,0.0294
Total Eclipse of the Heart,Bonnie Tyler,4 Hits,Bonnie Tyler,16/09/2011,270546,FALSE,0,"europop,new wave pop,soft rock",0.428,0.644,-7.582,0.0628,0.205
Don't Pay The Ferryman,Chris de Burgh,The Getaway,Chris de Burgh,01/01/1982,231333,FALSE,0,"new wave pop,soft rock",0.535,0.721,-10.823,0.0402,0.123
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,"Marvin Gaye, Tammi Terrell",29/08/1967,151666,FALSE,0,"classic soul,motown,neo soul,northern soul,quiet storm,soul,classic soul,motown,soul,southern soul",0.663,0.6,-10.87,0.032,0.43
It's Too Late,Evermore,Dreams,Evermore,24/09/2004,235333,FALSE,0,"australian alternative rock,australian rock,kiwi rock",0.539,0.714,-4.925,0.0278,0.0489
You Don't Have to Say You Love Me,Elvis Presley,The Essential Elvis Presley 3.0,Elvis Presley,2007,150533,FALSE,0,"rock-and-roll,rockabilly",0.321,0.563,-10.637,0.0496,0.589
Inside Out (feat. Griff),"Zedd, Griff",Inside Out (feat. Griff),"Zedd, Griff",23/10/2020,186245,FALSE,49,"complextro,edm,german techno,pop,pop dance,alt z,uk pop",0.64,0.683,-4.309,0.0434,0.169
Fingertips - Original Studio Version,Stevie Wonder,The Jazz Soul Of Little Stevie,Stevie Wonder,01/09/1962,176040,FALSE,0,"motown,soul",0.521,0.696,-9.317,0.0285,0.597
Another Man (feat. Megan Joy) (feat. Megan Joy),"Itch, Megan Joy",Another Man (feat. Megan Joy) (feat. Megan Joy),Itch,01/08/2014,188166,FALSE,28,idol,0.536,0.941,-3.8,0.117,0.0082
I Go To Rio,Peter Allen,At His Best,Peter Allen,01/01/1993,383933,FALSE,0,deep soft rock,0.549,0.902,-6.898,0.0531,0.107
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Tales From The Brothers Gibb,Bee Gees,01/10/1990,281666,FALSE,56,"disco,mellow gold,soft rock",0.708,0.567,-15.539,0.0355,0.07
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,Roddy Ricch,06/12/2019,196652,TRUE,82,"melodic rap,rap,trap",0.896,0.586,-6.687,0.0559,0.104
Mercy,Shawn Mendes,Illuminate (Deluxe),Shawn Mendes,23/09/2016,208733,FALSE,0,"canadian pop,pop,viral pop",0.562,0.681,-4.934,0.0871,0.113
Only Wanna Be With You,Hootie & The Blowfish,Cracked Rear View,Hootie & The Blowfish,01/07/1994,229586,FALSE,69,"pop rock,post-grunge",0.49,0.873,-5.861,0.0355,0.107
Angels Cry Remix - Remix,"Mariah Carey, Ne-Yo",Angels Cry Remix feat. Ne-Yo,Mariah Carey,01/01/2010,233746,FALSE,55,"dance pop,pop,urban contemporary,dance pop,pop,r&b,urban contemporary",0.368,0.53,-7.242,0.102,0.0814
Tell Him - Single Version,The Exciters,Tell Him,The Exciters,01/01/2012,156160,FALSE,49,"classic girl group,northern soul",0.708,0.616,-10.827,0.198,0.445
Love The Way You Lie,"Eminem, Rihanna",Recovery,Eminem,18/06/2010,263373,TRUE,1,"detroit hip hop,hip hop,rap,barbadian pop,pop,urban contemporary",0.746,0.922,-5.014,0.236,0.246
Gonna See My Baby Tonight,The La De Da's,Legend,The La De Da's,01/01/1975,197266,FALSE,19,classic nz pop,0.688,0.651,-10.397,0.112,0.0816
Broken (feat. Amy Lee),"Seether, Amy Lee",Seether: 2002 - 2013,Seether,29/09/2013,258516,FALSE,0,"alternative metal,nu metal,post-grunge,south african rock,hel",0.436,0.584,-3.728,0.0343,0.00919
Higher,"Hilltop Hoods, James Chatburn","Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,19/02/2016,269720,FALSE,49,"australian hip hop,australian r&b",0.737,0.669,-9.127,0.0483,0.281
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,Gotye,01/01/2011,244893,FALSE,62,"australian pop,bergen indie,electropop,nz pop",0.864,0.515,-6.967,0.0367,0.571
Ain't Telling The Truth,Bluejuice,Head of The Hawk,Bluejuice,01/01/2009,163186,FALSE,24,"australian alternative rock,australian indie",0.588,0.665,-5.861,0.049,0.274
The Only Exception,Paramore,Brand New Eyes,Paramore,22/09/2009,267653,FALSE,65,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",0.452,0.563,-6.607,0.0272,0.144
Cats In The Cradle,Ugly Kid Joe,True Power-Ballads / 3CD set,Various Artists,01/01/2007,241346,FALSE,0,"funk metal,funk rock,glam metal,hard rock",0.386,0.466,-10.773,0.0379,0.165
Higher Power,Coldplay,Higher Power,Coldplay,07/05/2021,211294,FALSE,68,"permanent wave,pop",0.507,0.828,-6.023,0.0449,0.00711
