Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
The Mountain's High,Dick & Dee Dee,Lost Hits Of The 60's (All Original Artists & Versions),Various Artists,01/01/2010,135706,FALSE,27,"deep adult standards,doo-wop,rhythm and blues",0.686,0.771,-8.764,0.0594,0.683
Popsicles And Icicles,The Murmaids,Popsicles and Icicles: the Best of the Murmaids,The Murmaids,04/01/2011,155400,FALSE,2,classic girl group,0.641,0.209,-15.404,0.0354,0.597
Single,Ne-Yo,Year Of The Gentleman,Ne-Yo,01/01/2008,257933,FALSE,0,"dance pop,pop,r&b,urban contemporary",0.701,0.908,-5.67,0.0713,0.0617
Night,Jackie Wilson,"A Woman, A Lover, A Friend",Jackie Wilson,1960,174720,FALSE,6,"chicago soul,classic soul,quiet storm,rock-and-roll,soul",0.222,0.383,-9.673,0.0326,0.851
Be the One,Dua Lipa,Be the One,Dua Lipa,30/10/2015,202914,FALSE,65,"dance pop,pop,uk pop",0.661,0.651,-3.771,0.0499,0.117
Respectable,Mel & Kim,F.L.M. (Deluxe Edition),Mel & Kim,1987,202640,FALSE,49,"new romantic,new wave pop",0.697,0.971,-5.093,0.0428,0.00377
(They Long To Be) Close To You,Carpenters,Close To You,Carpenters,01/01/1970,273933,FALSE,67,"adult standards,mellow gold,soft rock",0.528,0.233,-15.362,0.0346,0.726
Right Now (Na Na Na),Akon,Freedom (Int'l Version),Akon,01/01/2008,240746,FALSE,0,dance pop,0.832,0.87,-4.2,0.166,0.269
Suspicious Minds,Fine Young Cannibals,Fine Young Cannibals,Fine Young Cannibals,01/01/1985,237466,FALSE,56,"dance rock,new romantic,new wave,new wave pop,synthpop",0.397,0.949,-4.741,0.12,0.0575
Love And Other Bruises,Air Supply,The Ultimate Collection,Air Supply,01/01/2012,223866,FALSE,2,soft rock,0.447,0.765,-4.305,0.0307,0.341
Hot N Cold,Katy Perry,One Of The Boys,Katy Perry,2008,220226,FALSE,61,pop,0.706,0.842,-3.956,0.0417,0.0000773
Like It Loud,Cassie Davis,Differently,Cassie Davis,14/08/2009,186320,FALSE,0,australian pop,0.609,0.781,-4.651,0.0415,0.000209
Perfect Strangers,"Jonas Blue, JP Cooper",Perfect Strangers,Jonas Blue,03/06/2016,196613,FALSE,0,"pop,pop dance,tropical house,uk dance,uk pop",0.742,0.819,-5.307,0.0487,0.372
Love Me Like You,Little Mix,Love Me Like You,Little Mix,25/09/2015,197800,FALSE,0,"girl group,pop,talent show,uk pop",0.783,0.67,-3.935,0.0432,0.199
If I Had a Hammer,Trini Lopez,Rhino Hi-Five: Trini Lopez,Trini Lopez,20/12/2005,179400,FALSE,0,,0.468,0.933,-8.937,0.0852,0.623
I Should've Never Let You Go,Bardot,Bardot,Bardot,01/05/2000,267066,FALSE,0,australian pop,0.755,0.572,-5.508,0.0267,0.499
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",Gold,Olivia Newton-John,01/01/2005,167613,FALSE,0,"hollywood,adult standards,australian dance,disco,mellow gold,soft rock",0.743,0.774,-5.916,0.0941,0.256
Baby Blue - Remastered 2010,Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),Badfinger,13/12/1971,217346,FALSE,59,"album rock,beatlesque,classic rock,country rock,folk rock,jangle pop,mellow gold,power pop,singer-songwriter,soft rock",0.623,0.876,-7.788,0.066,0.0189
Art of Love (feat. Jordin Sparks),"Guy Sebastian, Jordin Sparks",Like It Like That,Guy Sebastian,23/10/2009,238786,FALSE,43,"australian pop,dance pop,pop,post-teen pop,urban contemporary",0.541,0.724,-3.966,0.0402,0.024
Tubthumping,Chumbawamba,Tubthumper,Chumbawamba,01/09/1997,278778,FALSE,68,anarcho-punk,0.348,0.88,-7.366,0.0978,0.128
All I Want,Sarah Blasko,As Day Follows Night,Sarah Blasko,10/07/2009,233960,FALSE,42,"australian alternative rock,australian indie,australian singer-songwriter",0.604,0.622,-7.782,0.0469,0.0943
Whatever Will Be,"Tammin Sursok, Ray Hedges",Whatever Will Be,Tammin Sursok,20/05/2005,227413,FALSE,15,australian pop,0.51,0.709,-5.22,0.0286,0.00729
Reelin' In The Years,Steely Dan,Can't Buy A Thrill,Steely Dan,01/01/1972,275466,FALSE,2,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.523,0.758,-9.81,0.0403,0.133
